市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,1,家族葬のファミーユ（横手ホール）,熊本県熊本市西区横手3-1-27,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.801575,130.688958,
43100,熊本県熊本市,2,芳野保育園,熊本県熊本市西区河内町岳880,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.832412,130.641558,
43100,熊本県熊本市,3,河内中学校,熊本県熊本市西区河内町船津2470-1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.828426,130.590585,
43100,熊本県熊本市,4,河内小学校,熊本県熊本市西区河内町船津2505-2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.828409,130.591517,
43100,熊本県熊本市,5,河内交流室・公民館,熊本県熊本市西区河内町船津791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.836669,130.583855,
43100,熊本県熊本市,6,旧河内小学校白浜分校,熊本県熊本市西区河内町白浜1018-6,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.841892,130.586976,
43100,熊本県熊本市,7,芳野コミュニティセンター,熊本県熊本市西区河内町野出1410,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.843362,130.643095,
43100,熊本県熊本市,8,芳野小学校,熊本県熊本市西区河内町野出1419,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.842398,130.642815,
43100,熊本県熊本市,9,芳野中学校,熊本県熊本市西区河内町野出1420-46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.841102,130.640674,
43100,熊本県熊本市,10,花園まちづくりセンター・公民館,熊本県熊本市西区花園5-8-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.817577,130.694862,
43100,熊本県熊本市,11,花園五丁目公園,熊本県熊本市西区花園5-9,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.816554,130.694856,
43100,熊本県熊本市,12,花園小学校,熊本県熊本市西区花園6-9-15,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.822749,130.690747,
43100,熊本県熊本市,13,柿原公園,熊本県熊本市西区花園7-19,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.825547,130.685321,
43100,熊本県熊本市,14,高橋小学校,熊本県熊本市西区高橋町1-6-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.784237,130.656297,
43100,熊本県熊本市,15,くまもと森都心プラザ,熊本県熊本市西区春日1-14-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.790388,130.691058,
43100,熊本県熊本市,16,熊本駅白川口駅前広場,熊本県熊本市西区春日3-15,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.789757,130.689486,
43100,熊本県熊本市,17,春日小学校,熊本県熊本市西区春日5-3-5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.789842,130.685916,
43100,熊本県熊本市,18,西部公民館,熊本県熊本市西区小島2-7-1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,32.77685023,130.6476106,
43100,熊本県熊本市,19,西部交流センター,熊本県熊本市西区小島2-7-50,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,32.776323,130.646861,
43100,熊本県熊本市,20,小島公園,熊本県熊本市西区小島6-10-40,,1.0,,1.0,,1.0,1.0,1.0,,32.776336,130.636119,
43100,熊本県熊本市,21,小島小学校,熊本県熊本市西区小島7-9-1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,32.778943,130.634586,
43100,熊本県熊本市,22,城西中学校,熊本県熊本市西区小島8-17-1,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,32.782574,130.63292,
43100,熊本県熊本市,23,白川中原緑地,熊本県熊本市西区小島上町,,1.0,,1.0,,1.0,1.0,1.0,,32.773807,130.634497,
43100,熊本県熊本市,24,旧松尾北小学校,熊本県熊本市西区松尾町平山255,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.812419,130.625217,
43100,熊本県熊本市,25,井芹中学校,熊本県熊本市西区上熊本3-27-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.820992,130.698625,
43100,熊本県熊本市,26,熊本県立総合体育館,熊本県熊本市西区上熊本１町目9-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.814634,130.701113,
43100,熊本県熊本市,27,三和中学校,熊本県熊本市西区上高橋1-4-1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.78602,130.665237,
43100,熊本県熊本市,28,旧松尾東小学校,熊本県熊本市西区上松尾町2880,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.796715,130.634725,
43100,熊本県熊本市,29,ゆめマート城山,熊本県熊本市西区城山下代2-5-7,,1.0,,1.0,1.0,1.0,1.0,1.0,,32.778442,130.655436,
43100,熊本県熊本市,30,城山小学校,熊本県熊本市西区城山大塘1-23-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.778041,130.65709,
43100,熊本県熊本市,31,熊本西高校,熊本県熊本市西区城山大塘5-5-15,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,32.782695,130.649328,
43100,熊本県熊本市,32,城山公園運動施設,熊本県熊本市西区城山半田4-16-1,,1.0,,1.0,1.0,1.0,1.0,1.0,,32.77571062,130.6504245,
43100,熊本県熊本市,33,西部環境工場,熊本県熊本市西区城山薬師2-12-1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,32.77426889,130.6468008,
43100,熊本県熊本市,34,旧松尾西小学校,熊本県熊本市西区西松尾町4456-1,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,32.797802,130.614508,
43100,熊本県熊本市,35,池亀公園,熊本県熊本市西区池亀町12,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.824062,130.695025,
43100,熊本県熊本市,36,池上小学校,熊本県熊本市西区池上町850,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.790488,130.67139,
43100,熊本県熊本市,37,池上中央公園,熊本県熊本市西区池上町４８４－１外,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.789091,130.676509,
43100,熊本県熊本市,38,池田１丁目西児童游園,熊本県熊本市西区池田1-19,,,1.0,1.0,1.0,1.0,1.0,1.0,,32.821846,130.70283,
